species,it,wingmc,rwingmc,wingw,rwingw,wingl,rwingl,headw,rheadw,eyew,reyew,eyel,reyel,scapel,rscapel,thairl,bsetael,btl,rbtl,btw,rbtw,wt
B.pensylvanicus,4.6,3.9,0.85,6.9,1.5,15.55,3.38,4.6,1,1.2,0.26,3.1,0.67,1.9,0.41,1.3,1.3,4.8,1.04,1.8,0.39,105.3
B.pensylvanicus,4.8,4.1,0.85,6.85,1.43,16.41,3.42,4.8,1,1.4,0.29,3.3,0.69,2.2,0.46,1.17,1.57,4.8,1,1.7,0.35,145.8
B.impatiens,4,3.2,0.8,4.9,1.23,12.5,3.13,4.1,1.03,1.1,0.28,2.85,0.71,2,0.5,1.03,1.4,4.3,1.08,1.7,0.43,72
B.impatiens,3.8,3.1,0.82,4.7,1.24,11.72,3.08,4.1,1.08,1.15,0.3,2.75,0.72,1.9,0.5,1,1.4,4.2,1.11,1.6,0.42,73.7
B.impatiens,3.9,2.9,0.74,4.4,1.13,11.8,3.03,3.95,1.01,1.1,0.28,2.7,0.69,1.9,0.49,1.1,1.43,4.3,1.1,1.5,0.38,65.3
B.impatiens,4.1,3,0.73,4.6,1.12,12.34,3.01,4,0.98,1.1,0.27,2.8,0.68,1.9,0.46,1.17,1.3,4.4,1.07,1.5,0.37,77.1
B.impatiens,4.6,3.35,0.73,5.1,1.11,13.44,2.92,4.4,0.96,1.2,0.26,3.1,0.67,2.05,0.45,1.23,1.23,4.6,1,1.8,0.39,111.2
B.impatiens,3.5,2.6,0.74,4,1.14,10,2.86,3.5,1,1,0.29,2.4,0.69,1.7,0.49,1.1,1.2,3.2,0.91,1.2,0.34,39
B.impatiens,4,2.8,0.7,4.5,1.13,12.03,3.01,3.9,0.98,1.05,0.26,2.7,0.68,1.85,0.46,1.2,1.38,4.2,1.05,1.5,0.38,64
B.impatiens,3.8,2.9,0.76,4.2,1.11,11.09,2.92,3.9,1.03,1,0.26,2.6,0.68,1.8,0.47,1.27,1.37,4,1.05,1.3,0.34,55.8
B.impatiens,3.6,2.8,0.78,4.3,1.19,10.78,2.99,3.75,1.04,1,0.28,2.55,0.71,1.85,0.51,1.37,1.37,3.9,1.08,1.4,0.39,82
B.impatiens,3.2,2.6,0.81,3.8,1.19,10,3.13,3.5,1.09,0.95,0.3,2.4,0.75,1.7,0.53,1.2,1.1,3.4,1.06,1.2,0.38,51.1
B.perplexus,3.5,2.8,0.8,4.2,1.2,10.7,3.06,3.6,1.03,0.9,0.26,2.35,0.67,1.8,0.51,1.6,1.37,3.6,1.03,1.4,0.4,44.1
B.perplexus,3.8,3.1,0.82,4.55,1.2,12.03,3.17,3.8,1,1,0.26,2.5,0.66,1.9,0.5,1.6,1.7,4.2,1.11,1.5,0.39,66.3
B.perplexus,3.4,3.4,1,4.9,1.44,12.34,3.63,3.8,1.12,0.95,0.28,2.5,0.74,1.7,0.5,2.2,1.47,4.3,1.26,1.2,0.35,47
B.perplexus,3.7,3.1,0.84,4.6,1.24,11.56,3.12,3.75,1.01,1,0.27,2.6,0.7,1.75,0.47,1.67,1.4,4,1.08,1.5,0.41,58.9
B.perplexus,3.7,3.1,0.84,4.6,1.24,11.09,3,3.7,1,1,0.27,2.55,0.69,1.8,0.49,1.67,1.37,4.2,1.14,1.3,0.35,47.9
B.perplexus,3.3,2.5,0.76,3.7,1.12,9.3,2.82,3.25,0.98,0.8,0.24,2.2,0.67,1.5,0.45,1.83,1.5,3.3,1,1.1,0.33,23.9
B.perplexus,3.8,3.2,0.84,4.75,1.25,12.19,3.21,3.8,1,0.95,0.25,2.65,0.7,1.9,0.5,2.1,1.8,4.3,1.13,1.5,0.39,60.5
B.perplexus,3.2,2.3,0.72,3.6,1.13,8.75,2.73,3.2,1,0.8,0.25,2.15,0.67,1.5,0.47,1.7,1.47,3.3,1.03,1.1,0.34,30.4
B.perplexus,3.6,3.2,0.89,4.6,1.28,12.03,3.34,3.8,1.06,1,0.28,2.65,0.74,1.8,0.5,1.97,1.57,4.2,1.17,1.3,0.36,51.1
B.perplexus,3.8,3.4,0.89,5,1.32,12.27,3.23,4,1.05,1.1,0.29,2.75,0.72,1.9,0.5,1.93,1.57,4.4,1.16,1.5,0.39,66.4
B.perplexus,3.5,3,0.86,4.6,1.31,11.25,3.21,3.65,1.04,1.1,0.31,2.5,0.71,1.7,0.49,1.8,1.67,3.9,1.11,1.2,0.34,48.7
B.sandersoni,3.4,2.8,0.82,4.1,1.21,10.94,3.22,3.5,1.03,1,0.29,2.4,0.71,1.65,0.49,1.57,1.37,4,1.18,1.2,0.35,80.6
B.sandersoni,3.6,2.8,0.78,4.1,1.14,11.09,3.08,3.6,1,0.95,0.26,2.5,0.69,1.7,0.47,1.43,1.4,3.9,1.08,1.2,0.33,65.6
B.sandersoni,3.8,2.8,0.74,4.3,1.13,10.78,2.84,3.7,0.97,1.1,0.29,2.6,0.68,1.8,0.47,1.83,1.33,3.6,0.95,1.2,0.32,54.4
B.sandersoni,3.6,2.45,0.68,4,1.11,10.63,2.95,3.45,0.96,1,0.28,2.35,0.65,1.7,0.47,1.67,1.43,3.8,1.06,1.2,0.33,42.1
B.sandersoni,3.3,2.6,0.79,3.8,1.15,10,3.03,3.3,1,0.9,0.27,2.3,0.7,1.65,0.5,1.43,1.2,3.7,1.12,1.1,0.33,46.1
B.affinis,2.8,2.7,0.96,4.2,1.5,10.31,3.68,3.4,1.21,0.9,0.32,2.3,0.82,1.7,0.61,1.17,1.17,3.2,1.14,1.1,0.39,
B.affinis,3.8,3.7,0.97,5.6,1.47,13.75,3.62,4.3,1.13,1.05,0.28,2.8,0.74,2.2,0.58,1.67,1.63,4.6,1.21,1.7,0.45,
B.affinis,3.8,3.9,1.03,6,1.58,14.53,3.82,4.6,1.21,1.2,0.32,2.9,0.76,2.1,0.55,1.83,1.5,5,1.32,1.6,0.42,
B.affinis,3.6,3.3,0.92,5,1.39,12.19,3.39,3.9,1.08,1,0.28,2.6,0.72,2.1,0.58,1.37,1.33,4.2,1.17,1.3,0.36,
B.affinis,3.6,3.45,0.96,5.4,1.5,13.28,3.69,4,1.11,0.9,0.25,2.65,0.74,2,0.56,1.23,1.4,4.5,1.25,1.5,0.42,
B.affinis,3.4,3.1,0.91,5,1.47,12.81,3.77,4,1.18,1,0.29,2.4,0.71,1.9,0.56,1.33,1.47,4.1,1.21,1.3,0.38,
B.affinis,3.3,4.3,1.3,5,1.52,12.5,3.79,3.8,1.15,1,0.3,2.5,0.76,1.9,0.58,1.33,1.33,4.1,1.24,1.3,0.39,
B.affinis,4.3,3.5,0.81,5.6,1.3,13.44,3.13,4.15,0.97,1,0.23,2.7,0.63,2.1,0.49,1.47,1.3,4.6,1.07,1.8,0.42,
B.affinis,4.4,3.8,0.86,5.9,1.34,13.91,3.16,4.45,1.01,1,0.23,2.85,0.65,2.1,0.48,1.47,1.3,4.9,1.11,1.7,0.39,
B.citrinus,5.3,4.6,0.87,7.5,1.42,18.75,3.54,5.4,1.02,1.3,0.25,3.1,0.58,2.4,0.45,1.17,0.73,6,1.13,1.7,0.32,
B.citrinus,4.8,4.2,0.88,6.5,1.35,16.25,3.39,4.7,0.98,1.3,0.27,3,0.63,2.3,0.48,1.47,0.7,5.3,1.1,1.5,0.31,
B.citrinus,5,4.7,0.94,7.4,1.48,17.03,3.41,5.1,1.02,1.3,0.26,3.1,0.62,2.3,0.46,1.73,0.9,5.5,1.1,1.5,0.3,
B.citrinus,5.1,4.3,0.84,7.1,1.39,17.19,3.37,5.05,0.99,1.3,0.25,3.1,0.61,2.4,0.47,1.57,0.77,4.9,0.96,1.3,0.25,
B.citrinus,5.3,4.2,0.79,6.9,1.3,16.72,3.15,4.9,0.92,1.3,0.25,3,0.57,2.2,0.42,1.37,0.83,5.2,0.98,1.6,0.3,
